"Date","Day","Sunrise","Sunrise Hour","Sunrise Mean","Sunset","Sunset Hour","Sunset Mean","Daylight Length","Daylight Mean","Solar Noon time","Solar Noon Hour","Solar Noon Mean"
"1-Jan",1,"07:24:00",7.4,6.345,"17:29:00",17.48,18.425,10.08,12.16,"12:27:00",12.45,12.37
"9-Jan",9,"07:25:00",7.42,6.345,"17:36:00",17.6,18.425,10.18,12.16,"12:30:00",12.5,12.37
"14-Feb",45,"07:07:00",7.12,6.345,"18:08:00",18.13,18.425,11.01,12.16,"12:37:00",12.62,12.37
"17-Feb",48,"07:04:00",7.07,6.345,"18:11:00",18.18,18.425,11.11,12.16,"12:37:00",12.62,12.37
"12-Mar",71,"06:31:00",6.52,6.345,"18:29:00",18.48,18.425,11.96,12.16,"12:33:00",12.55,12.37
"30-Mar",89,"06:14:00",6.23,6.345,"18:42:00",18.7,18.425,12.47,12.16,"12:28:00",12.47,12.37
"14-Apr",104,"05:55:00",5.92,6.345,"18:52:00",18.87,18.425,12.95,12.16,"12:23:00",12.38,12.37
"23-Apr",113,"05:45:00",5.75,6.345,"18:58:00",18.97,18.425,13.22,12.16,"12:22:00",12.37,12.37
"1-May",121,"05:37:00",5.62,6.345,"19:04:00",19.07,18.425,13.45,12.16,"12:20:00",12.33,12.37
"15-May",135,"05:26:00",5.43,6.345,"19:14:00",19.23,18.425,13.8,12.16,"12:20:00",12.33,12.37
"7-Jun",158,"05:16:00",5.27,6.345,"19:28:00",19.47,18.425,14.2,12.16,"12:22:00",12.37,12.37
"21-Jun",172,"05:17:00",5.28,6.345,"19:33:00",19.55,18.425,14.27,12.16,"12:25:00",12.42,12.37
"8-Jul",189,"05:23:00",5.38,6.345,"19:33:00",19.55,18.425,14.17,12.16,"12:28:00",12.47,12.37
"17-Jul",198,"05:29:00",5.48,6.345,"19:30:00",19.5,18.425,14.02,12.16,"12:29:00",12.48,12.37
"6-Aug",218,"05:41:00",5.68,6.345,"19:16:00",19.27,18.425,13.59,12.16,"12:29:00",12.48,12.37
"11-Aug",223,"05:45:00",5.75,6.345,"19:12:00",19.2,18.425,13.45,12.16,"12:28:00",12.47,12.37
"2-Sep",245,"05:59:00",5.98,6.345,"18:48:00",18.8,18.425,12.82,12.16,"12:23:00",12.38,12.37
"24-Sep",267,"06:13:00",6.22,6.345,"18:17:00",18.28,18.425,12.06,12.16,"12:15:00",12.25,12.37
"2-Oct",275,"06:18:00",6.3,6.345,"18:07:00",18.12,18.425,11.82,12.16,"12:13:00",12.22,12.37
"31-Oct",304,"06:39:00",6.65,6.345,"17:34:00",17.57,18.425,10.92,12.16,"12:07:00",12.12,12.37
"6-Nov",310,"06:44:00",6.73,6.345,"17:29:00",17.48,18.425,10.75,12.16,"12:07:00",12.12,12.37
"27-Nov",331,"07:03:00",7.05,6.345,"17:19:00",17.32,18.425,10.27,12.16,"12:11:00",12.18,12.37
"5-Dec",339,"07:09:00",7.15,6.345,"17:18:00",17.3,18.425,10.15,12.16,"12:14:00",12.23,12.37
"25-Dec",359,"07:22:00",7.37,6.345,"17:25:00",17.42,18.425,10.05,12.16,"12:23:00",12.38,12.37
